"gas","year","value"
"CO2",1990,15.13
"CO2",1991,15.04
"CO2",1992,15.11
"CO2",1993,15.2
"CO2",1994,15.38
"CO2",1995,15.77
"CO2",1996,16.16
"CO2",1997,16.39
"CO2",1998,17.33
"CO2",1999,17.4
"CO2",2000,17.51
"CO2",2001,17.61
"CO2",2002,17.82
"CO2",2003,17.82
"CO2",2004,18.31
"CO2",2005,18.34
"CO2",2006,18.33
"CO2",2007,18.47
"CO2",2008,18.2
"CO2",2009,18.14
"CO2",2010,17.59
"CO2",2011,17.23
"CO2",2012,16.92
"CO2",2013,16.46
"CO2",2014,15.81
"GHG",1990,24.602
"GHG",1991,24.354
"GHG",1992,24.362
"GHG",1993,24.165
"GHG",1994,23.93
"GHG",1995,24.183
"GHG",1996,24.276
"GHG",1997,24.672
"GHG",1998,25.166
"GHG",1999,25.197
"GHG",2000,25.48
"GHG",2001,25.544
"GHG",2002,25.445
"GHG",2003,25.226
"GHG",2004,25.818
"GHG",2005,25.833
"GHG",2006,25.68
"GHG",2007,25.568
"GHG",2008,25.232
"GHG",2009,24.913
"GHG",2010,24.381
"GHG",2011,24.107
"GHG",2012,23.813
"GHG",2013,22.977
"GHG",2014,22.384
